abbr.;LEN;full_name_local;full_name_english;country
;0;Svazek obcí;Union of municipalities;CZ
;0;Obec nebo městská část hlavního města Prahy;Municipality or city district of Prague;CZ
;0;Kraj a hlavní město Praha;Region or capital city Prague;CZ
;0;Regionální rada regionu soudržnosti;Regional Council of a cohesion region;CZ
;0;Zastupitelský orgán jiných států;Representative office of another state;CZ
;0;Mezinárodní odborová organizace;International trade union organisation;CZ
;0;Mezinárodní organizace zaměstnavatelů;International organisation of employers;CZ
;0;Mezinárodní nevládní organizace;International non-governmental organisation;CZ
;0;Organizační jednotka mezinárodní nevládní organizace;Organisational unit of the international non-governmental organisation;CZ
;0;Pobočná mezinárodní odborová organizace;Subsidiary international trade union organisation;CZ
;0;Pobočná mezinárodní organizace zaměstnavatelů;Subsidiary international organisation of employers;CZ
;0;Subjekt právním řádem výslovně neupravený;Entity not explicitly defined by law;CZ
;0;Právnická osoba zřízená zvláštním zákonem zapisovaná do veřejného rejstříku;Legal entity of an public register established by the special law;CZ
;0;Sonstige Organisation ohne Erwerbszweck;Other non-profit organisation;DE
;0;Erhvervsdrivende fond;Commercial foundation;DK
;0;Forening;Association ;DK
;0;Frivillig forening;Voluntary association;DK
;0;Andelsselskab (-forening);Cooperative society;DK
;0;Forening eller selskab med begr. ansvar;Limited liability association or company;DK
;0;Dødsbo;Estate of deceased person;DK
;0;Statslig administrativ enhed;Entitiy of central government;DK
;0;Selvstændig offentlig virksomhed;Independent public company;DK
;0;Amtskommune;County;DK
;0;Region;Region;DK
;0;Primærkommune;Municipality;DK
;0;Folkekirkelige Institutioner;Establishmentarian church institution;DK
;0;Enhed under oprettelse i E&S;Unit under creation in business register;DK
;0;Øvrige virksomhedsformer;Other companies;DK
;0;Særlig Finansiel virksomhed;Special financial company;DK
;0;Interessentskab;General partnership;DK
;0;Kommanditselskab;Limited partnership;DK
;0;Medarbejderinvesteringsselskab;Employee investment company;DK
;0;Partrederi;Shipping partnership;DK
;0;Aktieselskab;Limited company ;DK
;0;Kommanditaktieselskab;Limited partnership with a share capital;DK
;0;Fonde og andre selvejende institutioner;Self-governing institution, association, foundation etc.;DK
;0;Uoplyst virksomhedsform;Unknown legal form;DK
;0;Sociedad Civil con personalidad jurídica;Non-commercial partnership with independent legal status;ES
;0;Mutua;Mutual company;ES
;0;Otras formas jurídicas;Other legal forms;ES
;0;Fundación;Foundation;ES
;0;Asociaciones y otras instituciones sin fines de lucro a servicio de los hogares;Associations and other non-profit institutions serving households;ES
;0;Entidad de derecho público;Public law entity;ES
;0;Patrimonio de inversión sin personalidad jurídica;Investment funds without independent legal status;ES
;0;Avoin yhtiö;General partnership;FI
;0;Keskinäinen kiinteistö-Oy;Mutual joint-stock property company;FI
;0;Muu kiinteistö Oy (ei-keskinäinen);Other joint-stock property company (not mutual);FI
;0;Konserni;Enterprise group;FI
;0;Muu yhtiö;Other enterprise;FI
;0;Aatteellinen yhdistys;Voluntary association;FI
;0;Erityislainsäädäntöön perustuva yhdistys;Association based on separate legislation;FI
;0;Keskinäinen vahinkovakuutusyhdistys;Mutual indemnity insurance association;FI
;0;Metsänhoitoyhdistys;Forestry society;FI
;0;Avustuskassa;Mutual benefit society;FI
;0;Työttömyyskassa;Unemployment fund;FI
;0;Muu taloudellinen yhdistys;Other economic association;FI
;0;Muu yhdistys;Other association;FI
;0;Eläkesäätiö (säädekirjalla perustettu);Pension foundation (founded by a charter of foundation);FI
;0;Työeläkekassa;Pension fund;FI
;0;Hypoteekkiyhdistys;Mortgage society;FI
;0;Muu säätiö;Other foundation;FI
;0;Valtio ja sen laitokset;State and its agencies;FI
;0;Kunta;Municipality;FI
;0;Kuntayhtymä;Joint municipal board;FI
;0;Ahvenanmaan maakunta ja sen virastot;Region of Åland and its agencies;FI
;0;Evankelis-luterilainen kirkko;Evangelical Lutheran Church;FI
;0;Ortodoksinen kirkko;Greek Orthodox Church;FI
;0;Rekisteröity uskonnollinen yhdyskunta;Registered religious community;FI
;0;Ylioppilaskunta tai osakunta;Students' union or association;FI
;0;Erillishallinnollinen valtion laitos;Governmental institution with separate administration;FI
;0;Muu julkisoikeudellinen oikeushenkilö;Other legal person subject to public law;FI
;0;Yhteisetuudet (esim. kalastuskunta);Mutual interest bodies (e.g. fishery collectives);FI
;0;Yhteismetsä;Jointly owned forest;FI
;0;Maatila;Farm;FI
;0;Valtion liikelaitos;State-owned company;FI
;0;Kunnallinen liikelaitos;Municipally-owned company;FI
;0;Kuntainliiton (kuntayhtymän) liikelaitos;Joint local authority company;FI
;0;Ahvenanmaan liikelaitos;Company owned by the Regional Government of Åland;FI
;0;Muut (esim. tilapäinen oikeudellinen muoto);Others (e.g. temporary legal form);FI
;0;Indivision avec personne morale ;Co-ownership with the status of legal entity;FR
;0;Société créée de fait entre personnes physiques ;De facto company created between natural persons;FR
;0;Société créée de fait avec personne morale ;De facto company created with a legal entity;FR
;0;Société en participation entre personnes physiques ;Joint venture between natural persons;FR
;0;Société en participation avec personne morale ;Joint venture with a legal entity;FR
;0;Société en participation de professions libérales ;Joint venture between professionals;FR
;0;Fiducie ;Trust;FR
;0;Paroisse hors zone concordataire ;Parish not subject to concordat law;FR
;0;Autre groupement de droit privé non doté de la personnalité morale ;Other private-law group not having legal personality;FR
;0;Établissement public national à caractère industriel ou commercial doté d'un comptable public ;National industrial or commercial public undertaking having a public accountant;FR
;0;Établissement public national à caractère industriel ou commercial non doté d'un comptable public ;National industrial or commercial public undertaking not having a public accountant;FR
;0;Exploitant public ;Public operator;FR
;0;Établissement public local à caractère industriel ou commercial ;Local industrial or commercial public undertaking;FR
;0;Régie d'une collectivité locale à caractère industriel ou commercial ;Management of an industrial or commercial local authority;FR
;0;Institution Banque de France ;Bank of France institution;FR
;0;Société de caution mutuelle ;Mutual guarantee company;FR
;0;Société coopérative de banque populaire ;A popular bank cooperative;FR
;0;Caisse de crédit maritime mutuel ;Mutual maritime lending institution;FR
;0;Caisse (fédérale) de crédit mutuel ;(Federal) mutal lending institution;FR
;0;Association coopérative inscrite (droit local Alsace Moselle) ;Registered cooperative association (local law of Alsace Moselle);FR
;0;Caisse d'épargne et de prévoyance à forme coopérative ;Cooperative savings and provident bank;FR
;0;Société en nom collectif ;Commercial partnership;FR
;0;Société en nom collectif coopérative ;Cooperative commercial partnership;FR
;0;Société en commandite simple ;Ordinary limited partnership;FR
;0;Société en commandite simple coopérative ;Ordinary cooperative limited partnership;FR
;0;Société en commandite par actions ;Partnership limited by shares;FR
;0;Société en commandite par actions coopérative ;Cooperative partnership limited by shares;FR
;0;Société d'exercice libéral en commandite par actions ;Partnership limited by shares for a professional private practice;FR
;0;SARL nationale ;National limited liability company;FR
;0;SARL d'économie mixte ;Mixed economy limited liability company;FR
;0;SARL immobilière pour le commerce et l'industrie (SICOMI) ;Limited liability real estate company for trade and industry;FR
;0;SARL immobilière de gestion;Limited liability real estate management company;FR
;0;SARL d'aménagement foncier et d'équipement rural (SAFER);Limited liability company for land development and rural establishment;FR
;0;SARL mixte d'intérêt agricole (SMIA) ;Limited liability company with mixed agricultural purposes;FR
;0;SARL d'intérêt collectif agricole (SICA) ;Limited liability company for collective agricultural purposes;FR
;0;SARL d'attribution ;Limited liability allocation company;FR
;0;SARL coopérative de construction ;Cooperative construction limited liability company;FR
;0;SARL coopérative de consommation ;Cooperative consumer limited liability company;FR
;0;SARL coopérative artisanale ;Cooperative craftworkers' limited liability company;FR
;0;SARL coopérative d'intérêt maritime ;Cooperative limited liability company for maritime purposes;FR
;0;SARL coopérative de transport;Cooperative limited liability transport company;FR
;0;SARL coopérative ouvrière de production (SCOP);Cooperative workers' production limited liability company;FR
;0;SARL union de sociétés coopératives ;Limited liability union of cooperative companies;FR
;0;Autre SARL coopérative ;Other cooperative limited liability company;FR
;0;Société d'exercice libéral à responsabilité limitée ;Limited liability company for a professional private practice;FR
;0;SARL unipersonnelle ;Single-person limited liability company;FR
;0;Société à responsabilité limitée (sans autre indication);Limited liability company (with no further details);FR
;0;SA à participation ouvrière à conseil d'administration ;Workers' cooperative in the form of a public limited company with a board of directors;FR
;0;SA nationale à conseil d'administration ;National public limited company with a board of directors;FR
;0;SA d'économie mixte à conseil d'administration ;Mixed economy public limited company with a board of directors;FR
;0;Société d'investissement à capital variable (SICAV) à conseil d'administration ;Open-end investment company with a board of directors;FR
;0;SA immobilière pour le commerce et l'industrie (SICOMI) à conseil d'administration;Real estate public limited company for trade and industry with a board of directors;FR
;0;SA immobilière d'investissement à conseil d'administration;Real estate investment public limited company with a board of directors;FR
;0;SA d'aménagement foncier et d'équipement rural (SAFER) à conseil d'administration;Public limited company for land development and rural establishment with a board of directors;FR
;0;Société anonyme mixte d'intérêt agricole (SMIA) à conseil d'administration ;Public limited company with mixed agricultural purposes with a board of directors;FR
;0;SA d'intérêt collectif agricole (SICA) à conseil d'administration;Public limited company for collective agricultural purposes with a board of directors;FR
;0;SA d'attribution à conseil d'administration;Public limited allocation company with a board of directors;FR
;0;SA coopérative de construction à conseil d'administration;Public limited cooperative construction company with a board of directors;FR
;0;SA de HLM à conseil d'administration ;Affordable housing public limited company with a board of directors;FR
;0;SA coopérative de production de HLM à conseil d'administration ;Cooperative affordable housing production public limited company with a board of directors;FR
;0;SA de crédit immobilier à conseil d'administration ;Real estate lending public limited company with a board of directors;FR
;0;SA coopérative de consommation à conseil d'administration ;Consumer cooperative public limited company with a board of directors;FR
;0;SA coopérative de commerçants-détaillants à conseil d'administration;Retailers' cooperative public limited company with a board of directors ;FR
;0;SA coopérative artisanale à conseil d'administration ;Cooperative craftworkers' public limited company with a board of directors;FR
;0;SA coopérative (d'intérêt) maritime à conseil d'administration ;Cooperative public limited company for maritime purposes with a board of directors;FR
;0;SA coopérative de transport à conseil d'administration;Cooperative transport public limited company with a board of directors;FR
;0;SA coopérative ouvrière de production (SCOP) à conseil d'administration;Cooperative workers' production public limited company with a board of directors;FR
;0;SA union de sociétés coopératives à conseil d'administration ;Union of cooperative companies public limited company with a board of directors;FR
;0;Autre SA coopérative à conseil d'administration ;Other cooperative public limited company with a board of directors;FR
;0;Société de Participations Financières de Profession Libérale Société anonyme à conseil d'administration (SPFPL SA à conseil d'administration);Professional holding company Public liability company with a board of directors;FR
;0;Société d'exercice libéral à forme anonyme à conseil d'administration ;Public limited company for a professional private practice with a board of directors;FR
;0;SA à conseil d'administration (s.a.i.);Public limited company with a board of directors (real estate public limited company);FR
;0;SA à participation ouvrière à directoire ;Workers' cooperative in the form of a public limited company with a management board;FR
;0;SA nationale à directoire ;National public limited company with a management board;FR
;0;SA d'économie mixte à directoire ;Mixed economy public limited company with a management board;FR
;0;Société d'investissement à capital variable (SICAV) à directoire ;Open-end investment company with a management board;FR
;0;SA immobilière pour le commerce et l'industrie (SICOMI) à directoire;Real estate public limited company for trade and industry with a management board;FR
;0;SA immobilière d'investissement à directoire ;Real estate investment public limited company with a management board ;FR
;0;Safer anonyme à directoire ;Public limited company for land development and rural establishment with a management board ;FR
;0;SA mixte d'intérêt agricole (SMIA);Public limited company with mixed agricultural purposes with a management board;FR
;0;SA d'intérêt collectif agricole (SICA);Public limited company for collective agricultural purposes with a management board;FR
;0;SA d'attribution à directoire;Public limited allocation company with a management board;FR
;0;SA coopérative de construction à directoire;Public limited cooperative construction company with a management board;FR
;0;SA de HLM à directoire;Affordable housing public limited company with a management board;FR
;0;Société coopérative de production de HLM anonyme à directoire ;Cooperative affordable housing production public limited company with a management board;FR
;0;SA de crédit immobilier à directoire ;Real estate lending public limited company with a management board;FR
;0;SA coopérative de consommation à directoire ;Consumer cooperative public limited company with a management board;FR
;0;SA coopérative de commerçants-détaillants à directoire;Retailers' cooperative public limited company with a management board;FR
;0;SA coopérative artisanale à directoire ;Cooperative craftworkers' public limited company with a management board;FR
;0;SA coopérative d'intérêt maritime à directoire ;Cooperative public limited company for maritime purposes with a management board;FR
;0;SA coopérative de transport à directoire ;Cooperative transport public limited company with a management board;FR
;0;SA coopérative ouvrière de production (SCOP) à directoire;Cooperative workers' production public limited company with a management board;FR
;0;SA union de sociétés coopératives à directoire ;Union of cooperative companies public limited company with a management board;FR
;0;Autre SA coopérative à directoire;Other cooperative public limited company with a management board;FR
;0;Société de Participations Financières de Profession Libérale Société anonyme à Directoire (SPFPL SA à directoire);Professional holding company Public limited company with a management board;FR
;0;Société d'exercice libéral à forme anonyme à directoire ;Public limited company for a professional private practice with a management board;FR
;0;SA à directoire (s.a.i.);Public limited company with a management board (real estate public limited company);FR
;0;SAS, société par actions simplifiée;Simplified joint stock company;FR
;0;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;Simplified joint stock company with a single shareholder or single person simplified joint stock company;FR
;0;Société d'exercice libéral par action simplifiée ;Simplifed joint stock company for a professional private practice;FR
;0;Société européenne ;European company;FR
;0;Caisse d'Épargne et de Prévoyance ;Savings and provident bank;FR
;0;Société coopérative agricole ;Agricultural cooperative;FR
;0;Union de sociétés coopératives agricoles ;Union of agricultural cooperatives;FR
;0;Société d'assurance à forme mutuelle;Mutual insurance company;FR
;0;Sociétés Interprofessionnelles de Soins Ambulatoires ;Inter-professional outpatient care companies;FR
;0;Société civile d'intérêt collectif agricole (SICA);Civil-law company for collective agricultural purposes;FR
;0;Groupement foncier agricole ;Agricultural land grouping;FR
;0;Groupement agricole foncier ;Agricultural land grouping;FR
;0;Groupement forestier ;Forestry grouping;FR
;0;Groupement pastoral ;Pastoral grouping;FR
;0;Groupement foncier et rural;Land and rural grouping;FR
;0;Société civile foncière ;Land civil-law company;FR
;0;Société civile immobilière ;Property civil-law company;FR
;0;Société civile immobilière de construction-vente;Property civil-law company for construction and sale;FR
;0;Société civile d'attribution ;Civil-law allocation company;FR
;0;Société civile coopérative de construction ;Civil-law construction cooperative company;FR
;0;Société civile immobilière d' accession progressive à la propriété;Property civil-law company for gradual accession to ownership;FR
;0;Société civile coopérative de consommation ;Civil-law cooperative consumer company;FR
;0;Société civile coopérative d'intérêt maritime ;Civil-law company for maritime purposes;FR
;0;Société civile coopérative entre médecins ;Civil-law cooperative company between doctors;FR
;0;Autre société civile coopérative ;Other civil-law cooperative company;FR
;0;SCP d'avocats ;Civil-law professional partnership of lawyers ;FR
;0;SCP d'avocats aux conseils ;Civil-law professional partnership of legal counsel;FR
;0;SCP d'avoués d'appel ;Civil-law professional partnership of solicitors;FR
;0;SCP d'huissiers ;Civil-law professional partnership of bailiffs;FR
;0;SCP de notaires ;Civil-law professional partnership of notaries;FR
;0;SCP de commissaires-priseurs ;Civil-law professional partnership of valuers and auctioneers;FR
;0;SCP de greffiers de tribunal de commerce ;Civil-law professional partnership of clerks of the commercial court;FR
;0;SCP de conseils juridiques ;Civil-law professional partnership of legal advisors;FR
;0;SCP de commissaires aux comptes ;Civil-law professional partnership of auditors;FR
;0;SCP de médecins ;Civil-law professional partnership of doctors;FR
;0;SCP de dentistes ;Civil-law professional partnership of dentists;FR
;0;SCP d'infirmiers ;Civil-law professional partnership of nurses;FR
;0;SCP de masseurs-kinésithérapeutes;Civil-law professional partnership of masseurs and physiotherapists;FR
;0;SCP de directeurs de laboratoire d'analyse médicale ;Civil-law professional partnership of directors of medical analysis laboratories;FR
;0;SCP de vétérinaires ;Civil-law professional partnership of veterinary surgeons;FR
;0;SCP de géomètres experts;Civil-law professional partnership of expert surveyors;FR
;0;SCP d'architectes ;Civil-law professional partnership of architects;FR
;0;Autre société civile professionnelle;Other civil-law professional partnership;FR
;0;Société civile laitière ;Dairy civil-law partnership;FR
;0;Société civile de moyens ;Resourcing civil-law partnership;FR
;0;Caisse locale de crédit mutuel ;Local mutual lending bank;FR
;0;Caisse de crédit agricole mutuel ;Mutual agricultural lending bank;FR
;0;Société civile d'exploitation agricole ;Civil-law partnership for agricultural operations;FR
;0;Exploitation agricole à responsabilité limitée ;Limited liability farm;FR
;0;Autre société civile ;Other civil-law company;FR
;0;Autre personne de droit privé inscrite au registre du commerce et des sociétés;Other private-law person registered in the trade and companies register;FR
;0;Autorité constitutionnelle ;Constitutional authority;FR
;0;Autorité administrative indépendante ;Independent administrative authority;FR
;0;Ministère ;Ministry;FR
;0;Service central d'un ministère ;Central department of a ministry;FR
;0;Service du ministère de la Défense ;Ministry of Defence department;FR
;0;Service déconcentré à compétence nationale d'un ministère (hors Défense);Decentralised department of a ministry (excluding Defence) with national jurisdiction;FR
;0;Service déconcentré de l'État à compétence (inter) régionale ;Decentralised State department with (inter-)regional jurisdiction;FR
;0;Service déconcentré de l'État à compétence (inter) départementale ;Decentralised State department with (inter-)departmental jurisdiction;FR
;0;(Autre) Service déconcentré de l'État à compétence territoriale ;(Other) decentralised State department with territorial jurisdiction;FR
;0;Ecole nationale non dotée de la personnalité morale ;National school not having legal entity status;FR
;0;Commune et commune nouvelle ;Municipality and new municipality;FR
;0;Département ;Department;FR
;0;Collectivité et territoire d'Outre Mer;Overseas collectivity and territory;FR
;0;(Autre) Collectivité territoriale ;(Other) territorial collectivity;FR
;0;Région ;Region;FR
;0;Commune associée et commune déléguée ;Associated municipality and delegated municipality;FR
;0;Section de commune ;Section of a municipality;FR
;0;Ensemble urbain ;Conurbation;FR
;0;Association syndicale autorisée ;Authorised trade union association;FR
;0;Association foncière urbaine ;Urban land association;FR
;0;Association foncière de remembrement ;Land consolidation association;FR
;0;Établissement public local d'enseignement ;Local public information undertaking;FR
;0;Pôle métropolitain;Metropolitan centre;FR
;0;Secteur de commune ;Sector of a municipality;FR
;0;District urbain ;Urban district;FR
;0;Communauté urbaine ;Urban community;FR
;0;Métropole;Metropolis;FR
;0;Communauté de communes ;Community of districts;FR
;0;Communauté de villes ;Community of towns;FR
;0;Communauté d'agglomération ;Community of an urban area;FR
;0;Autre établissement public local de coopération non spécialisé ou entente ;Other local non-specialist public cooperation entity or agreement;FR
;0;Institution interdépartementale ou entente;Inter-departmental institution or agreement;FR
;0;Institution interrégionale ou entente ;Inter-regional institution or agreement;FR
;0;Syndicat mixte fermé ;Mixed closed syndicate;FR
;0;Syndicat mixte ouvert;Mixed open syndicate;FR
;0;Commission syndicale pour la gestion des biens indivis des communes ;Trade union committee for the management of shared property of municipalities;FR
;0;Centre communal d'action sociale ;Municipal social welfare centre;FR
;0;Caisse des écoles ;Education funding authority;FR
;0;Caisse de crédit municipal ;Municipal lending bank;FR
;0;Établissement d'hospitalisation ;Hospital establishment;FR
;0;Syndicat inter hospitalier ;Inter-hospital syndicate;FR
;0;Établissement public local social et médico-social ;Local public social and medical/social undertaking;FR
;0;Établissement public local culturel ;Local public cultural undertaking;FR
;0;Régie d'une collectivité locale à caractère administratif ;Management of a local authority of an administrative nature;FR
;0;(Autre) Établissement public administratif local ;(Other) local public administrative undertaking;FR
;0;Organisme consulaire ;Consular body;FR
;0;Établissement public national ayant fonction d'administration centrale ;National public undertaking having a central administration role;FR
;0;Établissement public national à caractère scientifique culturel et professionnel ;National public undertaking of a scientific, cultural and professional nature;FR
;0;Autre établissement public national d'enseignement ;Other national public teaching undertaking;FR
;0;Autre établissement public national administratif à compétence territoriale limitée ;Other national public administrative undertaking with limited territorial jurisdiction;FR
;0;Établissement public national à caractère administratif ;National public undertaking of an administrative nature;FR
;0;Établissement public des cultes d'Alsace-Lorraine ;Public religious undertaking of Alsace-Lorraine;FR
;0;Etablissement public administratif, cercle et foyer dans les armées ;Public administrative undertaking, army assistance centres;FR
;0;Groupement de coopération sanitaire à gestion publique ;Publicly-managed cooperative healthcare group;FR
;0;Autre personne morale de droit administratif ;Other administrative law legal entity;FR
;0;Régime général de la Sécurité Sociale;General social security scheme;FR
;0;Régime spécial de Sécurité Sociale;Special social security scheme;FR
;0;Institution de retraite complémentaire ;Supplementary pension institution;FR
;0;Mutualité sociale agricole ;Agricultural social mutual fund;FR
;0;Régime maladie des non-salariés non agricoles ;Sickness scheme for non-employed, non-agricultural workers;FR
;0;Régime vieillesse ne dépendant pas du régime général de la Sécurité Sociale;Retirement scheme not forming part of the general social security scheme;FR
;0;Régime d'assurance chômage ;Unemployment insurance scheme;FR
;0;Autre régime de prévoyance sociale ;Other social welfare scheme;FR
;0;Mutuelle ;Mutual fund;FR
;0;Assurance mutuelle agricole ;Mutual agricultural insurance;FR
;0;Autre organisme mutualiste ;Other mutual organisation;FR
;0;Comité central d'entreprise ;Central works council;FR
;0;Comité d'établissement ;Works committee;FR
;0;Syndicat de salariés ;Employees' trade union;FR
;0;Syndicat patronal ;Employers' association;FR
;0;Ordre professionnel ou assimilé ;Professional body or similar;FR
;0;Centre technique industriel ou comité professionnel du développement économique ;Technical industrial centre or professional committee for economic development;FR
;0;Autre organisme professionnel ;Other professional organisation;FR
;0;Institution de prévoyance ;Welfare institution;FR
;0;Institution de retraite supplémentaire ;Supplementary pension institution;FR
;0;Syndicat de copropriété ;Association of co-owners;FR
;0;Association syndicale libre ;Voluntary landowners' association;FR
;0;Association non déclarée ;Undeclared association;FR
;0;Association déclarée ;Declared association;FR
;0;Association déclarée d'insertion par l'économique;Declared association for integration through work;FR
;0;Association intermédiaire ;Intermediary association;FR
;0;Groupement d'employeurs ;Grouping of employers;FR
;0;Association d'avocats à responsabilité professionnelle individuelle;Association of lawyers with individual professional liability;FR
;0;Association déclarée, reconnue d'utilité publique;Declared recognised public interest association;FR
;0;Congrégation ;Religious order;FR
;0;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);Local law association (Bas-Rhin, Haut-Rhin and Moselle);FR
;0;Fondation ;Foundation;FR
;0;Autre personne morale de droit privé ;Other private-law legal entity;FR
;0;Groupement de coopération sanitaire à gestion privée ;Privately-managed cooperative healthcare grouping;FR
;0;Corporations;Corporations;GB
;0;Cooperatives;Cooperatives;GB
;0;Partnerships;Partnerships;GB
;0;Sole traders;Sole traders;GB
;0;Limited liability company;Limited liability company;GB
;0;Other;Any other legal form not included in the above list;GB
;0;Ustanova;Institution;HR
;0;Nedefinirano ;Other;HR
;0;Druga osoba za koje je upis propisan zakonom;Other entities as prescribed by law;HR
;0;Društvene organizacije;Public organisations;HR
;0;Društveno poduzeće;Socially-owned enterprise;HR
;0;Društvo s neograničenom solidarnom odgovornošću;Unlimited joint and several liability company;HR
;0;Fondovi;Funds;HR
;0;Fundacije;Foundations;HR
;0;Gospodarska udruženja;Economic cooperations;HR
;0;Grad;Town;HR
;0;Gradsko poglavarstvo;City government;HR
;0;Gradsko vijeće;City council;HR
;0;Hrvatska narodna banka;Croatian National Bank;HR
;0;Hrvatski sabor;Croatian Parliament;HR
;0;Investicijski i mirovinski fondovi;Investment and pension funds;HR
;0;Javno poduzeće;Public enterprise;HR
;0;Ministarstva i ostali samostalni organi državne uprave;"Ministries and other independent bodies of 
government administration";HR
;0;Mirovinski fondovi;Pension funds;HR
;0;Mjesni odbor, gradski kotar i gradska četvrt;Local committee, town district and town block;HR
;0;Nenovčani investicijski fondovi;Non-money market investment funds;HR
;0;Općina;Municipality;HR
;0;Općinsko poglavarstvo;Municipal government;HR
;0;Općinsko vijeće;Municipal council;HR
;0;Organ društveno političke zajednice;Public organ;HR
;0;Ostale organizacije;Other organisations;HR
;0;Ostali oblici organiziranja;Other organisational forms;HR
;0;Poduzeće za zapošljavanje invalida;Company for the employment of persons with disabilities;HR
;0;Političke stranke;Political parties;HR
;0;Pravosuđe;Justice;HR
;0;Predsjednik Republike Hrvatske;President of the Republic of Croatia;HR
;0;Privatno poduzeće;Private enterprise;HR
;0;Republika Hrvatska;Republic of Croatia;HR
;0;Složeni oblik udruživanja;Compound pooling system;HR
;0;Stručne službe, uredi i druga tijela;Administrative staffs, offices and other bodies;HR
;0;Udruga;Association;HR
;0;Udruge građana;Civil cooperatives;HR
;0;Udruge više razine;Higher-level association;HR
;0;Ugovorno poduzeće;Contracted company;HR
;0;Ustavni sud Republike Hrvatske;Constitutional Court of the Republic of Croatia;HR
;0;Vlada Republike Hrvatske;Government of the Republic of Croatia;HR
;0;Zadruga;Cooperative;HR
;0;Zadružno poduzeće;Cooperative undertaking/Cooperative company;HR
;0;Zajednica ustanova;Communities of institutions;HR
;0;Zajednička financijska organizacija;Joint financial organisation;HR
;0;Zaklade;Trusts;HR
;0;Županija;County;HR
;0;Županijska skupština;County Assembly;HR
;0;Županijsko poglavarstvo;County government;HR
;0;Novčani investicijski fondovi;Money market investment funds;HR
;0;Takarék- és hitelszövetkezet;Savings and loan association savings and credit cooperative;HU
;0;Egyéb szövetkezet;Other cooperative;HU
;0;Egyéb szövetség ;Union (except sport union);HU
;0;Kölcsönös biztosító egyesület;Mutual insurance association;HU
;0;Egyéb egyesület;Other association;HU
;0;Egyéb köztestület;Other public corporation;HU
;0;Egyéb alapítvány;Other foundation;HU
;0;Önkéntes kölcsönös biztosítópénztár;Voluntary mutual insurance fund;HU
;0;Magánnyugdíjpénztár;Private pension fund;HU
;0;Befektetési alap;Investment fund;HU
;0;Egyéb adóalany;Other taxpayer;HU
;0;Egyéb jogi forma;Other legal form;HU
;0;Industrial and Provident Society;;IE
