lemma;term
alleviate;alleviating
alleviate;alleviated
alleviate;alleviates
alliance;alliances
allocate;allocated
allocate;allocates
allocate;allocating
allocation;allocations
allot;allotted
allot;allotting
allot;allots
allotment;allotments
allow;allowing
allow;allows
allow;allowed
allowance;allowances
along;alongs
alpha;alphas
alphanumeric;alphanumerics
alter;altered
alter;altering
alter;alters
alteration;alterations
alternate;alternated
alternate;alternating
alternate;alternates
alternative;alternatives
am;amer
am;ams
am;ammed
amalgamation;amalgamations
amend;amended
amend;amending
amend;amends
amendment;amendments
amenity;amenities
america;americas
american;americans
among;amongest
amortise;amortised
amortise;amortising
amortise;amortises
amortize;amortized
amortize;amortizing
amount;amounts
amount;amounted
amount;amounting
an;ans
analyse;analysing
analyse;analysed
analyse;analyses
analyst;analysts
analyze;analyzing
analyze;analyzed
analyze;analyzes
ancillary;ancillaries
and;ands
and;anding
angel;angels
animal;animals
anniversary;anniversaries
announce;announced
announce;announces
announce;announcing
announcement;announcements
annual;annuals
annualize;annualized
annuitant;annuitants
annuity;annuities
anomaly;anomalies
another;anothers
ante;antes
antedate;antedating
antedate;antedated
antedate;antedates
anticipate;anticipating
anticipate;anticipates
anticipate;anticipated
anticipation;anticipations
antique;antiques
antique;antiqued
antique;antiquing
ap;aping
ap;aped
ap;aps
ap;apping
apartment;apartments
ape;apes
ape;apeing
apic;apics
app;apps
appeal;appealed
appeal;appeals
appeal;appealing
appeal;appealling
appeal;appealled
appear;appears
appear;appeared
appear;appearing
appearance;appearances
appellation;appellations
appendix;appendices
appendix;appendixes
applicability;applicabilities
application;applications
apply;applies
apply;applying
apply;applied
appointment;appointments
apportion;apportioned
apportion;apportioning
apportion;apportions
apportionment;apportionments
appraisal;appraisals
appraise;appraised
appraise;appraising
appraise;appraises
appreciation;appreciations
approach;approaches
approach;approached
approach;approaching
appropriate;appropriated
appropriate;appropriating
appropriate;appropriates
appropriation;appropriations
approval;approvals
approve;approved
approve;approves
approve;approving
apr;aprs
ar;ars
arb;arbs
arbitrage;arbitraging
arbitrage;arbitrages
arbitrageur;arbitrageurs
arbitration;arbitrations
arbitrator;arbitrators
arc;arcs
are;ares
area;areas
argument;arguments
arise;arises
arise;arisen
arise;arose
arise;arised
arising;arisings
arithmetic;arithmetics
arm;arms
arm;armed
arrange;arranged
arrange;arranging
arrange;arranges
arrangement;arrangements
art;arts
article;articles
article;articled
articulate;articulated
articulate;articulates
articulate;articulating
articulation;articulations
artificial;artificials
artist;artists
ascertain;ascertaining
ascertain;ascertained
ascertain;ascertains
ascii;asciis
asian;asians
aside;asides
aside;asiding
ask;asked
ask;asking
ask;asks
aspect;aspects
aspect;aspected
asr;asrs
assembly;assemblies
assent;assented
assent;assenting
assent;assents
assertion;assertions
assess;assessing
assess;assessed
assess;assesses
assessment;assessments
assessor;assessors
asset;assets
assign;assigned
assign;assigning
assign;assigns
assignee;assignees
assignment;assignments
assignor;assignors
assist;assisted
assist;assists
assist;assisting
assistance;assistances
assistant;assistants
associate;associated
associate;associates
associate;associating
association;associations
assortment;assortments
assume;assuming
assume;assumed
assume;assumes
assumption;assumptions
assurance;assurances
assure;assured
assure;assures
assure;assuring
at;ated
at;ater
atm;atms
atp;atps
attach;attached
attach;attaches
attach;attaching
attachment;attachments
attain;attained
attain;attaining
attain;attains
attention;attentions
attest;attested
attest;attests
attest;attesting
attestation;attestations
attorney;attorneys
attribute;attributed
attribute;attributes
attribute;attributing
attribution;attributions
auction;auctioned
auction;auctions
auction;auctioning
audit;audited
audit;auditing
audit;audits
auditor;auditors
austral;australs
australian;australians
authorisation;authorisations
authorise;authorised
authorise;authorising
authorise;authorises
authority;authorities
authorization;authorizations
authorize;authorizing
authorize;authorized
authorize;authorizes
auto;autos
automate;automating
automate;automated
automate;automates
automatic;automatics
automation;automations
automobile;automobiles
autonomy;autonomies
auxiliary;auxiliaries
availability;availabilities
average;averages
average;averaged
average;averaging
avoidance;avoidances
aw;aws
award;awarding
award;awarded
award;awards
awareness;awarenesses
axiom;axioms
ba;bas
baby;babies
baby;babys
baby;babied
baby;babying
bac;bacs
back;backed
back;backs
backdate;backdated
backdate;backdating
backlog;backlogs
backlog;backlogged
backup;backups
bad;worse
bad;baddest
bad;badder
bad;bads
badge;badges
badge;badged
badge;badging
baf;bafs
bail;bailing
bail;bailed
bail;bails
bailment;bailments
balance;balanced
balance;balances
balancing;balancings
balloon;balloons
balloon;ballooned
balloon;ballooning
ban;banned
ban;bans
band;banded
band;bands
bang;bangs
bang;banging
bang;banged
bank;banks
bank;banked
banker;bankers
banking;bankings
banknote;banknotes
bankrupt;bankrupted
bankrupt;bankrupts
bankrupt;bankrupting
bankruptcy;bankruptcies
bar;bars
bar;barring
bar;barred
barbell;barbells
bargain;bargained
bargain;bargains
bargain;bargaining
barometer;barometers
barrel;barrelling
barrel;barrels
barrel;barrelled
barrier;barriers
barrier;barriered
barter;bartered
barter;bartering
barter;barters
base;based
base;basing
base;baser
base;bases
base;basest
basic;basics
basket;baskets
batch;batches
batch;batching
batch;batched
bath;baths
bay;bays
bay;baies
bay;bayed
be;is
be;was
be;'s
be;were
be;'re
be;'m
be;bes
bean;beans
bear;bears
bear;borne
bear;bearest
bear;beared
bearer;bearers
bearing;bearings
because;becauses
become;becoming
become;became
become;becomes
become;becomeing
bed;beds
bed;bedded
bed;bedding
bee;bees
bee;beeing
been;beens
beg;begging
beg;begs
beg;begged
begin;began
begin;begun
begin;begins
begin;beginned
beginning;beginnings
behalf;behalfs
behavior;behaviors
behaviour;behaviours
being;beings
belong;belonging
belong;belonged
belong;belongs
below;belows
benchmark;benchmarks
benchmark;benchmarking
benchmark;benchmarked
beneficiary;beneficiaries
benefit;benefits
benefit;benefiting
benefit;benefited
benefit;benefitting
benefit;benefitted
bequest;bequests
bequest;bequested
bermuda;bermudas
best;bests
best;bested
best;besting
best;bestest
beta;betas
between;betweens
beverage;beverages
bias;biased
bias;biassed
bid;bidding
bid;bids
bid;bade
bid;bidden
bid;bidded
bidder;bidders
bifurcate;bifurcated
bifurcate;bifurcates
bifurcation;bifurcations
big;biggest
big;bigger
bilateral;bilaterals
bill;bills
bill;billed
billing;billings
bin;bins
bin;binned
bin;binning
binary;binaries
binder;binders
binding;bindings
binomial;binomials
biological;biologicals
bir;birs
birth;births
birth;birthing
birth;birthed
bit;bits
bit;bitted
bit;bitting
black;blacks
black;blacked
black;blacking
black;blackest
black;blacker
blackout;blackouts
blank;blanked
blank;blanks
blank;blanking
blank;blanker
blanket;blankets
blanket;blanketed
blend;blended
blend;blends
blend;blending
blind;blinds
blind;blinded
blind;blinder
blind;blindest
block;blocks
block;blocked
block;blocking
blockage;blockages
blocker;blockers
blue;blues
blue;blueing
blue;bluing
blue;blued
boa;boas
board;boards
board;boarded
boat;boats
boat;boating
boat;boated
body;bodies
body;bodied
body;bodys
boe;boes
boe;boeing
boiler;boilers
boiler;boilered
boilerplate;boilerplating
boliviano;bolivianos
bom;boms
bon;boning
bon;boned
bon;bons
bond;bonds
bond;bonded
bond;bonding
bondholder;bondholders
bonus;bonuses
book;books
book;booked
book;bookking
booking;bookings
bookkeeper;bookkeepers
bookrunner;bookrunners
boot;boots
boot;booting
boot;booted
bootstrap;bootstraps
border;borders
border;bordered
border;bordering
borderline;borderlines
borrow;borrowed
borrow;borrows
borrower;borrowers
borrowing;borrowings
bottleneck;bottlenecks
bottleneck;bottlenecking
bottom;bottoms
bounce;bounced
bounce;bounces
bound;bounds
bound;bounded
bound;bounding
boundary;boundaries
boutique;boutiques
box;boxes
box;boxed
box;boxing
boy;boys
boy;boy's
br;brest
br;brer
br;brring
bracket;brackets
bracket;bracketed
bracket;bracketted
brainstorm;brainstorming
brainstorm;brainstorms
branch;branches
branch;branched
brand;brands
brand;branded
brazil;brazils
breach;breaches
breach;breached
breach;breaching
break;broke
break;breaking
break;breaks
break;broken
breakage;breakages
breakdown;breakdowns
breakfast;breakfasted
breakfast;breakfasts
breakfast;breakfasting
breakpoint;breakpoints
breakup;breakups
breed;bred
breed;breeding
breed;breeds
brick;bricks
brick;bricked
brick;bricking
bridge;bridges
bridge;bridging
bridge;bridged
bring;bringing
bring;brings
bring;brought
broadcast;broadcasts
broadcast;broadcasting
broadcast;broadcasted
broadcaster;broadcasters
broker;brokers
broker;brokered
broker;brokering
brokerage;brokerages
brother;brothers
brother;brethren
brown;browns
brown;browned
brown;browner
bubble;bubbles
bubble;bubbled
bucket;buckets
buddy;buddies
budget;budgets
budget;budgeted
budgete;budgeting
buffer;buffers
buffer;buffering
buffer;buffered
build;built
build;builds
build;builded
builder;builders
building;buildings
bulge;bulging
bulge;bulges
bulge;bulged
bulk;bulked
bulk;bulks
bulk;bulking
bull;bulls
bull;bulled
bull;bulling
bulldog;bulldogs
bullet;bullets
bulletin;bulletins
bundle;bundles
bundle;bundled
bundle;bundling
bunny;bunnies
bunny;bunnys
bunny;bunnied
burden;burdened
burden;burdens
burden;burdening
bureau;bureaux
bureau;bureaus
burn;burned
burn;burns
burn;burnt
bursary;bursaries
bus;buses
business;businesses
bust;busts
bust;busting
bust;busted
but;buts
but;butted
butter;buttered
butter;butters
butter;buttering
buy;bought
buy;buying
buy;buys
buyer;buyers
buyout;buyouts
by;bys
bye;byes
bylaw;bylaws
byproduct;byproducts
c;cest
ca;cas
ca;caer
cable;cables
cable;cabled
cable;cabling
cac;cacs
cad;cads
cafeteria;cafeterias
calculate;calculated
calculate;calculating
calculate;calculates
calculation;calculations
calendar;calendars
call;called
call;calls
calling;callings
campaign;campaigned
campaign;campaigns
campaign;campaigning
can;cans
can;canned
can;canning
canadian;canadians
cancel;cancelling
cancel;cancelled
cancel;cancels
cancel;canceled
cancellation;cancellations
candy;candied
candy;candies
cannibalize;cannibalizing
cannibalize;cannibalized
canteen;canteens
cap;caps
cap;capped
capability;capabilities
capacity;capacities
capital;capitals
capital;capitalled
capitalisation;capitalisations
capitalise;capitalising
capitalise;capitalised
capitalise;capitalises
capitalist;capitalists
capitalization;capitalizations
capitalize;capitalized
capitalize;capitalizing
capitalize;capitalizes
capping;cappings
caption;captions
caption;captioned
caption;captioning
captive;captives
capture;captured
capture;captures
capture;capturing
car;cars
carbon;carbons
card;cards
card;carded
care;caring
care;cared
care;cares
career;careers
career;careering
career;careered
cargo;cargoes
cargo;cargos
carlo;carlos
carousel;carousels
carriage;carriages
carrier;carriers
carry;carried
carry;carries
carry;carryed
carry;carrys
carrying;carryings
cartel;cartels
carve;carved
carve;carves
case;cases
case;cased
cash;cashing
cash;cashed
cash;cashes
cashier;cashiers
cashier;cashiered
cashier;cashiering
casino;casinos
casting;castings
casual;casuals
casual;casualest
casualty;casualties
cat;cats
cat;catting
catalog;catalogs
catastrophe;catastrophes
catch;catching
catch;catches
catch;catched
categorise;categorised
categorise;categorising
categorise;categorises
categorization;categorizations
categorize;categorized
categorize;categorizing
categorize;categorizes
category;categories
cater;caters
cater;catered
cater;catering
cause;caused
cause;causing
cause;causes
caveat;caveats
cayman;caymans
cc;ccs
cd;cds
cdo;cdos
cease;ceased
cease;ceases
cease;ceasing
cede;ceded
cede;ceding
cedi;cedis
ceiling;ceilings
cell;cells
cell;celled
cent;cents
centavo;centavos
center;centering
center;centered
center;centers
centime;centimes
centralize;centralizing
centralize;centralized
centralize;centralizes
centre;centres
centre;centred
centre;centring
ceo;ceos
certain;certains
certainty;certainties
certificate;certificates
certificate;certificated
certificate;certificating
certification;certifications
certified;certifieds
certify;certifies
certify;certifying
cessation;cessations
cfc;cfcs
cga;cgas
chain;chained
chain;chains
chain;chaining
chair;chaired
chair;chairs
chair;chairing
chairman;chairmen
chairman;chairmans
chairperson;chairpersons
chairwoman;chairwomen
chamber;chambers
chamber;chambering
change;changes
change;changing
change;changed
channel;channels
channel;channelled
chap;chaps
chap;chapped
chap;chapping
chapter;chapters
character;characters
character;charactered
characteristic;characteristics
characterization;characterizations
charge;charged
charge;charges
charging;chargings
charity;charities
chart;charts
chart;charted
chart;charting
charter;chartered
charter;charters
charter;chartering
chartist;chartists
chattel;chattels
check;checks
check;checked
checking;checkings
checklist;checklists
chemical;chemicals
cheque;cheques
cheque;chequed
cherry;cherries
cherry;cherrys
chief;chiefs
chief;chiefest
child;children
child;childed
child;childs
child;childrens
chinese;chineses
chip;chips
chip;chipped
choice;choices
choose;chosen
choose;chooses
church;churches
church;churchs
church;churched
church;churching
churn;churned
churn;churns
churn;churning
ci;cis
cip;cips
circle;circles
circle;circling
circle;circled
circular;circulars
circularize;circularized
circulate;circulating
circulate;circulated
circulate;circulates
circulation;circulations
circumstance;circumstances
circumstance;circumstanced
citizenship;citizenships
city;cities
city;citys
city;citied
civil;civils
claim;claimed
claim;claims
claim;claiming
clarification;clarifications
clarity;clarities
class;classes
class;classed
class;classing
classical;classicals
classification;classifications
classified;classifieds
clause;clauses
clawback;clawbacks
clean;cleaned
clean;cleanest
clean;cleans
cleaning;cleanings
cleanup;cleanups
clear;clearest
clear;cleared
clear;clears
clearance;clearances
clearing;clearings
clerk;clerks
clerk;clerking
click;clicked
click;clicks
client;clients
climate;climates
clock;clocked
clock;clocks
close;closed
close;closest
close;closes
closing;closings
closure;closures
cloud;clouds
cloud;clouded
cloud;clouding
club;clubs
club;clubbed
club;clubbing
cluster;clusters
cluster;clustered
cm;cms
cmo;cmos
coal;coals
coal;coaling
cockroach;cockroaches
cod;codding
cod;cods
code;coded
code;codes
codification;codifications
coding;codings
coe;coes
coefficient;coefficients
cog;cogs
cohort;cohorts
cohort;cohorting
coin;coins
coin;coined
coincide;coincided
coincide;coincides
coincide;coinciding
cola;colas
cold;colds
cold;colder
cold;coldest
collaborator;collaborators
collar;collars
collateral;collaterals
collect;collecting
collect;collected
collect;collects
collectible;collectibles
collection;collections
collective;collectives
collector;collectors
college;colleges
collision;collisions
colon;colons
column;columns
column;columned
combination;combinations
combine;combines
combine;combined
combine;combining
comfort;comforted
comfort;comforting
comfort;comforts
command;commanded
command;commanding
command;commands
commander;commanders
commence;commenced
commence;commencing
commence;commences
comment;commented
comment;comments
comment;commenting
commentary;commentaries
commercial;commercials
commingle;commingling
commingle;commingled
commission;commissioned
commission;commissions
commissioner;commissioners
commitment;commitments
committed;committeds
committee;committees
commodity;commodities
common;commoning
common;commoned
communication;communications
community;communities
company;companies
company;companys
company;companying
comparable;comparables
comparative;comparatives
compare;compared
compare;comparing
compare;compares
comparison;comparisons
compatibility;compatibilities
compensate;compensates
compensate;compensated
compensate;compensating
compensation;compensations
competence;competences
competency;competencies
competition;competitions
competitive;competitives
competitor;competitors
compilation;compilations
compile;compiled
compile;compiles
compile;compiling
complementary;complementaries
complete;completed
complete;completes
complete;completing
complete;completest
completion;completions
complex;complexes
complex;complexed
complex;complexing
complex;complexs
compliance;compliances
comply;complied
comply;complying
comply;complies
component;components
composite;composites
composition;compositions
compound;compounded
compound;compounds
compound;compounding
comprehensive;comprehensives
compromise;compromising
compromise;compromises
compromise;compromised
compulsion;compulsions
compulsory;compulsories
computation;computations
compute;computes
compute;computed
compute;computing
computer;computers
computerise;computerising
computerise;computerised
computerise;computerises
computerize;computerized
computerize;computerizing
con;cons
con;conned
con;conning
con;coning
con;coned
concealment;concealments
concentrate;concentrated
concentrate;concentrates
concentrate;concentrating
concentration;concentrations
concept;concepts
concern;concerns
concern;concerning
concern;concerned
concert;concerts
concert;concerting
concession;concessions
conciliation;conciliations
conclude;concluded
conclude;concluding
conclude;concludes
conclusion;conclusions
concurrent;concurrents
condemnation;condemnations
condensate;condensates
condense;condensed
condense;condenses
condense;condensing
condition;conditions
condition;conditioned
condition;conditioning
conditional;conditionals
condominium;condominiums
conduct;conducting
conduct;conducted
conduct;conducts
conduit;conduits
confederation;confederations
conference;conferences
confidence;confidences
configuration;configurations
confine;confined
confine;confines
confine;confining
confirm;confirming
confirm;confirmed
confirm;confirms
confirmation;confirmations
confiscation;confiscations
conflict;conflicts
conflict;conflicted
conflict;conflicting
conglomerate;conglomerates
conglomerate;conglomerating
congress;congresses
congress;congressed
congruence;congruences
conjunction;conjunctions
connect;connected
connect;connects
connect;connecting
connection;connections
consent;consenting
consent;consented
consent;consents
consequence;consequences
consequential;consequentials
conservative;conservatives
consider;considered
consider;considering
consider;considers
consideration;considerations
consign;consigned
consign;consigns
consign;consigning
consignee;consignees
consignment;consignments
consignor;consignors
consist;consisted
consist;consists
consist;consisting
consistency;consistencies
consolidate;consolidating
consolidate;consolidated
consolidate;consolidates
consolidation;consolidations
consortium;consortiums
constant;constants
constituent;constituents
constitute;constitutes
constitute;constituted
constitute;constituting
constitution;constitutions
constrain;constrained
constrain;constraining
constrain;constrains
constraint;constraints
construct;constructing
construct;constructed
construct;constructs
construction;constructions
consulate;consulates
consult;consulted
consult;consulting
consult;consults
consultancy;consultancies
consultant;consultants
consumable;consumables
consume;consumed
consume;consuming
consume;consumes
consumer;consumers
consummate;consummated
consummate;consummating
consummate;consummates
consumption;consumptions
contact;contacts
contact;contacted
contact;contacting
contain;contains
contain;containing
contain;contained
container;containers
containment;containments
contango;contangos
contemporary;contemporaries
content;contents
content;contented
content;contenting
context;contexts
continental;continentals
contingency;contingencies
contingent;contingents
continuation;continuations
continue;continuing
continue;continues
continue;continued
continue;continueing
continuity;continuities
contra;contras
contract;contracts
contract;contracting
contract;contracted
contractor;contractors
contradictory;contradictories
contribute;contributed
contribute;contributing
contribute;contributes
contribution;contributions
contributor;contributors
contributory;contributories
control;controlled
control;controls
control;controlling
controllable;controllables
controller;controllers
convenience;conveniences
convention;conventions
convergence;convergences
conversion;conversions
convert;converted
convert;converting
convert;converts
convertible;convertibles
convexity;convexities
conveyance;conveyances
coo;cooing
coo;coos
cook;cooking
cook;cooked
cook;cooks
cooperation;cooperations
cooperative;cooperatives
coordinate;coordinated
coordinate;coordinating
coordinate;coordinates
coordination;coordinations
copper;coppers
copper;coppered
copper;coppering
copy;copies
copy;copied
copyright;copyrights
copyright;copyrighted
cordoba;cordobas
core;cores
core;cored
core;coring
corporate;corporates
corporation;corporations
correct;corrected
correct;correcting
correct;corrects
correction;corrections
corrective;correctives
correlation;correlations
correspond;corresponds
correspond;corresponded
correspond;corresponding
correspondent;correspondents
corridor;corridors
corroborate;corroborated
corroborate;corroborating
corroborate;corroborates
corrupt;corrupted
corrupt;corrupts
corrupt;corrupting
corrupt;corrupter
cost;costs
cost;costed
costing;costings
council;councils
council;councilled
council;councilling
counsel;counselled
counsel;counsels
counsel;counselling
count;counted
count;counts
counter;counters
counter;countered
counter;countering
counterbalance;counterbalanced
counterbalance;counterbalances
counterbalance;counterbalancing
counterpart;counterparts
counterparty;counterparties
counting;countings
country;countries
country;countrys
coupon;coupons
courier;couriered
courier;couriers
course;courses
course;coursing
course;coursed
court;courts
court;courting
court;courted
covenant;covenants
covenant;covenanted
covenant;covenanting
cover;covered
cover;covers
coverage;coverages
covering;coverings
cow;cows
cow;cowed
cow;cowing
cpa;cpas
cpe;cpes
cpi;cpis
crack;cracked
crack;cracks
cram;crammed
cram;crams
cram;cramming
create;created
create;creates
create;creating
creation;creations
creative;creatives
credit;credits
credit;credited
credit;crediting
creditor;creditors
creep;crept
creep;creeping
creep;creeps
crime;crimes
crime;criming
crisis;crises
criterion;criteria
criterion;criterions
criticize;criticizing
criticize;criticized
criticize;criticizes
crop;crops
crop;cropped
cross;crosses
cross;crossed
crown;crowned
crown;crowns
crude;crudest
crude;crudes
crude;cruder
crunch;crunched
crunch;crunching
crunch;crunches
cruzado;cruzados
cruzeiro;cruzeiros
cull;culled
cull;culls
cultivate;cultivated
cultivate;cultivates
cultivate;cultivating
cultivation;cultivations
culture;cultures
culture;cultured
culture;culturing
cum;cums
currency;currencies
current;currents
curtail;curtailed
curtail;curtails
curtail;curtailing
curtailment;curtailments
curtain;curtains
curtain;curtaining
curtain;curtained
curve;curving
curve;curves
curve;curved
cushion;cushions
cushion;cushioned
cushion;cushioning
custodian;custodians
custody;custodies
custom;customs
customer;customers
cut;cuts
cutoff;cutoffs
cv;cvs
cycle;cycles
cycle;cycling
cycle;cycled
cyclical;cyclicals
d;dest
d;ded
daily;dailies
dairy;dairies
dairy;dairying
daisy;daisies
dam;dams
dam;dammed
dam;damming
damage;damaged
damage;damaging
damage;damages
dangle;dangling
dangle;dangled
dangle;dangles
dark;darker
dark;darkest
dark;darks
dashboard;dashboards
data;datas
database;databases
database;databasing
date;dated
date;dates
dating;datings
dawn;dawns
dawn;dawned
day;days
day;daid
day;daies
daylight;daylights
daylight;daylighting
dc;dcs
dead;deader
dead;deadest
dead;deads
deal;deals
deal;dealt
dealer;dealers
dealing;dealings
death;deaths
debenture;debentures
debit;debits
debit;debited
debit;debiting
debt;debts
debtor;debtors
decay;decayed
decay;decays
decay;decaying
decease;deceases
december;decembers
decentralize;decentralized
decentralize;decentralizing
decide;deciding
decide;decided
decide;decides
decision;decisions
declaration;declarations
declare;declared
declare;declares
declare;declaring
decline;declined
decline;declining
decline;declines
decommission;decommissioned
decommission;decommissioning
decomposition;decompositions
decontaminate;decontaminates
decontaminate;decontaminating
decontaminate;decontaminated
decrease;decreased
decrease;decreases
decree;decrees
decree;decreed
decree;decreeing
dedicate;dedicated
dedicate;dedicates
dedicate;dedicating
deduct;deducted
deduct;deducting
deduct;deducts
deductible;deductibles
deduction;deductions
deed;deeds
deem;deemed
deem;deems
deem;deeming
deep;deepest
deep;deeper
deep;deeps
default;defaults
default;defaulted
default;defaulting
defect;defects
defect;defected
defect;defecting
defective;defectives
defence;defences
defend;defended
defend;defending
defend;defends
defendant;defendants
defense;defenses
defer;deferring
defer;deferred
defer;defers
deferment;deferments
deferral;deferrals
deficiency;deficiencies
deficit;deficits
define;defined
define;defining
define;defines
definition;definitions
deflation;deflations
degree;degrees
delay;delayed
delay;delays
delay;delaying
delegate;delegates
delegate;delegated
delegate;delegating
delegation;delegations
deletion;deletions
deliberate;deliberated
deliberate;deliberating
deliberate;deliberates
delimitation;delimitations
delinquency;delinquencies
delinquent;delinquents
delist;delisted
delist;delisting
deliver;delivers
deliver;delivered
deliver;delivering
deliverable;deliverables
delivery;deliveries
delivery;deliverying
delta;deltas
demand;demands
demand;demanding
demand;demanded
demerger;demergers
demo;demos
demo;demoing
demographic;demographics
denar;denars
denominate;denominated
denominate;denominating
denomination;denominations
denominator;denominators
deny;denied
deny;denies
deny;denying
deny;denys
depart;departed
depart;departs
depart;departing
department;departments
departure;departures
depend;depends
depend;depending
depend;depended
dependency;dependencies
dependent;dependents
depiction;depictions
depletion;depletions
deposit;deposited
deposit;deposits
deposit;depositing
depositor;depositors
depository;depositories
depot;depots
deprecate;deprecates
deprecate;deprecating
deprecate;deprecated
depreciate;depreciating
depreciate;depreciated
depreciate;depreciates
depreciation;depreciations
depression;depressions
depth;depths
derecognise;derecognised
deregistration;deregistrations
derivative;derivatives
derive;derived
derive;deriving
derive;derives
describe;described
describe;describes
describe;describing
description;descriptions
descriptor;descriptors
design;designed
design;designs
design;designing
designate;designated
designate;designating
designate;designates
designation;designations
desk;desks
destination;destinations
destruction;destructions
detail;details
detail;detailing
detail;detailed
detect;detected
detect;detecting
detect;detects
detection;detections
detective;detectives
deter;deterred
deter;deters
deter;deterring
deteriorate;deteriorated
deteriorate;deteriorating
deteriorate;deteriorates
deterioration;deteriorations
determinant;determinants
determination;determinations
determine;determined
determine;determines
determine;determining
devaluation;devaluations
develop;developing
develop;developed
develop;develops
development;developments
deviation;deviations
device;devices
devolve;devolving
devolve;devolved
devolve;devolves
diagram;diagrams
diagram;diagrammed
diagram;diagramming
diamond;diamonds
dictionary;dictionaries
did;dids
die;died
die;dying
die;dies
die;dieing
diem;diems
differ;differs
differ;differed
differ;differing
differ;differred
difference;differences
difference;differencing
differential;differentials
differentiate;differentiating
differentiate;differentiated
differentiate;differentiates
differentiation;differentiations
difficulty;difficulties
digit;digits
dilapidation;dilapidations
dilemma;dilemmas
dilute;diluting
dilute;diluted
dilute;dilutes
dilution;dilutions
dimension;dimensions
dimension;dimensioned
dimension;dimensioning
diminish;diminishes
diminish;diminishing
diminish;diminished
diminution;diminutions
dinar;dinars
dip;dipped
dip;dips
dip;dipping
direct;directed
direct;directing
direct;directs
direction;directions
directive;directives
director;directors
directorship;directorships
dirham;dirhams
dirty;dirtied
dirty;dirtying
dirty;dirtiest
dirty;dirties
dirty;dirtier
disability;disabilities
disable;disabled
disable;disables
disable;disabling
disadvantage;disadvantages
disadvantage;disadvantaged
disadvantage;disadvantaging
disaggregate;disaggregating
disaggregate;disaggregated
disaggregate;disaggregates
disallow;disallowed
disallow;disallowing
disallow;disallows
disallowance;disallowances
disappearance;disappearances
disaster;disasters
disburse;disbursed
disburse;disbursing
disbursement;disbursements
disc;discs
discharge;discharged
discharge;discharges
discharge;discharging
disciplinary;disciplinaries
